Year,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR
2020-2021,Josh Benson,eng ENG,MF,Burnley,20,1999,6,2,264,2.9,0,0,0,0,0,0,0.2,0.2,0,1,6,8
2020-2021,Christian Benteke,be BEL,FW,Crystal Palace,29,1990,30,21,1816,20.2,10,1,0,0,3,1,8.3,8.3,0.9,14,36,124
2020-2021,Gaetano Berardi,ch SUI,DF,Leeds United,31,1988,2,1,113,1.3,0,0,0,0,0,0,0.1,0.1,0,0,2,1
2020-2021,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,29,1990,22,16,1363,15.1,2,0,0,0,2,0,1.2,1.2,0.5,25,31,74
2020-2021,Sander Berge,no NOR,MF,Sheffield Utd,22,1998,15,13,1120,12.4,1,1,1,1,4,0,1.2,0.4,1.1,39,39,33
2020-2021,Steven Bergwijn,nl NED,FWMF,Tottenham,22,1997,21,13,1208,13.4,1,3,0,0,3,0,2,2,0.9,32,25,83
2020-2021,Bernard,br BRA,MFFW,Everton,27,1992,12,3,455,5.1,1,0,0,0,2,0,0.3,0.3,0.6,13,37,42
2020-2021,Bernardo,br BRA,DFMF,Brighton,25,1995,3,2,206,2.3,0,0,0,0,0,0,0.4,0.4,0.1,2,9,15
2020-2021,Ryan Bertrand,eng ENG,DF,Southampton,30,1989,29,29,2598,28.9,0,1,0,0,5,0,0.4,0.4,1.3,46,101,120
2020-2021,Yves Bissouma,ml MLI,MF,Brighton,23,1996,36,35,3111,34.6,1,0,0,0,8,1,1.4,1.4,0.9,55,146,26
2020-2021,Jayden Bogle,eng ENG,DFMF,Sheffield Utd,20,2000,16,12,1110,12.3,2,0,0,0,2,0,1.9,1.9,0.2,11,24,61
2020-2021,Willy Boly,ci CIV,DF,Wolves,29,1991,21,21,1879,20.9,1,1,0,0,2,0,1.1,1.1,0.3,5,44,1
2020-2021,Jarrod Bowen,eng ENG,FWMF,West Ham,23,1996,38,30,2562,28.5,8,5,0,0,0,0,7.1,7.1,5,83,44,165
2020-2021,Robbie Brady,ie IRL,MF,Burnley,28,1992,19,12,1052,11.7,1,1,0,0,3,0,0.8,0.8,0.9,14,26,40
2020-2021,Rhian Brewster,eng ENG,FWMF,Sheffield Utd,20,2000,27,12,1128,12.5,0,0,0,0,1,0,1.8,1.8,1.6,11,20,48
2020-2021,Nathan Broadhead,wls WAL,FW,Everton,22,1998,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,Josh Brownhill,eng ENG,MF,Burnley,24,1995,33,32,2813,31.3,0,1,0,0,2,0,1.9,1.9,0.7,22,83,69
2020-2021,Joe Bryan,eng ENG,DFMF,Fulham,26,1993,16,7,669,7.4,1,0,0,0,2,0,0.6,0.6,0.3,13,31,33
2020-2021,Kean Bryan,eng ENG,DF,Sheffield Utd,23,1996,13,12,1004,11.2,1,0,0,0,1,0,0.9,0.9,0.6,7,22,18
2020-2021,Oliver Burke,sct SCO,FW,Sheffield Utd,23,1997,25,14,1269,14.1,1,1,0,0,2,0,2.1,2.1,2.2,30,19,108
2020-2021,Dan Burn,eng ENG,DF,Brighton,28,1992,27,23,2061,22.9,1,0,0,0,5,0,1.5,1.5,0.8,34,87,73
2020-2021,Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,David Button,eng ENG,GK,West Brom,31,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,Oskar Buur,dk DEN,DF,Wolves,22,1998,1,0,22,0.2,0,0,0,0,0,0,0,0,0,1,0,0
2020-2021,Willy Caballero,ar ARG,GK,Chelsea,38,1981,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,Gary Cahill,eng ENG,DF,Crystal Palace,34,1985,20,20,1800,20,1,1,0,0,3,0,0.7,0.7,0.6,3,46,0
2020-2021,Tom Cairney,sct SCO,MF,Fulham,29,1991,10,9,759,8.4,1,1,0,0,2,0,0.5,0.5,1.1,22,72,25
2020-2021,Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,33,32,2871,31.9,16,0,0,0,3,0,16.3,16.3,2,36,46,160
2020-2021,João Cancelo,pt POR,DFMF,Manchester City,26,1994,28,27,2299,25.5,2,3,0,0,5,1,1.6,1.6,4.6,80,200,150
2020-2021,Ian Carlo Poveda,eng ENG,MF,Leeds United,20,2000,14,0,355,3.9,0,0,0,0,0,0,0.3,0.3,1.1,21,17,47
2020-2021,Andy Carroll,eng ENG,FW,Newcastle Utd,31,1989,18,4,392,4.4,1,0,0,0,1,0,0.8,0.8,0.1,2,12,18
2020-2021,Scott Carson,eng ENG,GK,Manchester City,34,1985,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,Fabio Carvalho,pt POR,MFFW,Fulham,17,2002,4,3,255,2.8,1,0,0,0,0,0,1.2,1.2,0.4,10,6,14
2020-2021,Matty Cash,pl POL,DF,Aston Villa,22,1997,28,28,2372,26.4,0,2,0,0,8,1,0.3,0.3,1.7,43,76,62
2020-2021,Kiko Casilla,es ESP,GK,Leeds United,33,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0
2020-2021,Timothy Castagne,be BEL,DF,Leicester City,24,1995,27,27,2345,26.1,2,3,0,0,1,0,1.1,1.1,2.2,52,91,148
2020-2021,Jonny Castro,es ESP,MFDF,Wolves,26,1994,7,7,495,5.5,0,0,0,0,0,0,0.1,0.1,0.1,13,16,18
2020-2021,Ivan Cavaleiro,pt POR,FW,Fulham,26,1993,36,27,2472,27.5,3,0,1,2,2,0,6.4,4.8,2.7,68,63,230
2020-2021,Edinson Cavani,uy URU,FW,Manchester Utd,33,1987,26,13,1375,15.3,10,3,0,0,4,0,8,8,2.2,5,30,80
2020-2021,Dani Ceballos,es ESP,MF,Arsenal,23,1996,25,17,1615,17.9,0,3,0,0,4,0,0.6,0.6,2.6,54,150,52
2020-2021,Calum Chambers,eng ENG,DF,Arsenal,25,1995,10,8,753,8.4,0,2,0,0,0,0,0.4,0.4,1.1,16,40,49
2020-2021,Ben Chilwell,eng ENG,DF,Chelsea,23,1996,27,27,2286,25.4,3,5,0,0,3,0,2.4,2.4,2.4,94,111,186
2020-2021,Hamza Choudhury,eng ENG,MF,Leicester City,22,1997,10,4,316,3.5,0,0,0,0,1,0,0.4,0.4,0,3,15,1
2020-2021,Andreas Christensen,dk DEN,DF,Chelsea,24,1996,17,15,1371,15.2,0,0,0,0,2,1,0.1,0.1,0.3,7,43,1
2020-2021,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,16,2003,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,1,1
2020-2021,Ciaran Clark,ie IRL,DF,Newcastle Utd,30,1989,22,21,1891,21,1,0,0,0,3,0,0.7,0.7,0.1,9,35,4
2020-2021,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29,1991,13,13,1145,12.7,0,1,0,0,2,0,0.2,0.2,0.2,18,42,20
2020-2021,Conor Coady,eng ENG,DF,Wolves,27,1993,37,37,3303,36.7,1,0,0,0,5,0,1,1,0.2,4,67,2
2020-2021,Séamus Coleman,ie IRL,DFMF,Everton,31,1988,25,18,1613,17.9,0,3,0,0,0,0,0.9,0.9,1.8,31,49,90
2020-2021,Aaron Connolly,ie IRL,FW,Brighton,20,2000,17,9,791,8.8,2,1,0,0,0,0,4,4,0.2,12,4,58
2020-2021,Liam Cooper,sct SCO,DF,Leeds United,28,1991,25,25,2185,24.3,1,0,0,0,4,1,1.8,1.8,0,12,88,1
2020-2021,Theo Corbeanu,ca CAN,FW,Wolves,18,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,1
2020-2021,Jack Cork,eng ENG,MF,Burnley,31,1989,16,15,1350,15,0,0,0,0,2,0,0.2,0.2,0.6,8,37,13
2020-2021,Hélder Costa,ao ANG,MFFW,Leeds United,26,1994,22,13,1156,12.8,3,3,0,0,0,0,2.2,2.2,0.6,47,28,84
2020-2021,Vladimír Coufal,cz CZE,DF,West Ham,27,1992,34,34,3054,33.9,0,7,0,0,3,0,1.3,1.3,5.5,70,128,159
2020-2021,Aaron Cresswell,eng ENG,DF,West Ham,30,1989,36,36,3170,35.2,0,8,0,0,3,0,1,1,6.5,35,162,96
2020-2021,Patrick Cutrone,it ITA,FW,Wolves,22,1998,2,0,25,0.3,0,0,0,0,0,0,0.1,0.1,0,0,0,3
2020-2021,Stuart Dallas,nir NIR,MFDF,Leeds United,29,1991,38,38,3409,37.9,8,2,0,0,7,0,4.2,4.2,1.8,95,233,126
2020-2021,Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15,15,1350,15,1,0,0,0,1,0,0.3,0.3,0,2,34,0
2020-2021,Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,25,2250,25,0,0,0,0,3,0,0,0,0,0,0,0
