Year,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR
2022-2023,Brenden Aaronson,us USA,MFFW,Leeds United,22-183,2000,31,28,2273,25.3,1,3,0,0,2,0,3.6,3.6,4.2,43,84,143
2022-2023,Che Adams,sct SCO,FW,Southampton,26-284,1996,25,22,1873,20.8,5,3,0,0,1,0,5.9,5.9,2.8,14,30,96
2022-2023,Tyler Adams,us USA,MF,Leeds United,24-068,1999,24,24,2156,24,0,0,0,0,6,1,0.1,0.1,1.4,19,136,20
2022-2023,Tosin Adarabioyo,eng ENG,DF,Fulham,25-211,1997,18,16,1455,16.2,1,0,0,0,3,0,0.4,0.4,0.2,15,64,3
2022-2023,Nayef Aguerd,ma MAR,DF,West Ham,27-024,1996,12,11,1055,11.7,1,0,0,0,3,0,1.4,1.4,0.4,2,17,4
2022-2023,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-025,2002,7,0,93,1,0,0,0,0,1,0,0.2,0.2,0.1,1,2,11
2022-2023,Rayan Aït Nouri,dz ALG,DF,Wolves,21-321,2001,20,9,1031,11.5,1,0,0,0,4,0,0.7,0.7,1,30,43,76
2022-2023,Kristoffer Ajer,no NOR,DF,Brentford,25-006,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0,10,31,12
2022-2023,Manuel Akanji,ch SUI,DF,Manchester City,27-278,1995,23,19,1856,20.6,0,1,0,0,2,0,1.2,1.2,0.3,21,91,10
2022-2023,Nathan Aké,nl NED,DF,Manchester City,28-064,1995,23,19,1683,18.7,0,0,0,0,2,0,1,1,0.6,22,128,28
2022-2023,Marc Albrighton,eng ENG,FWMF,Leicester City,33-156,1989,6,1,237,2.6,1,0,0,0,0,0,0.3,0.3,0.9,4,7,18
2022-2023,Thiago Alcántara,es ESP,MF,Liverpool,32-012,1991,17,14,1222,13.6,0,0,0,0,2,0,0.4,0.4,1.1,13,118,23
2022-2023,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-144,2002,12,7,556,6.2,3,1,0,0,2,0,1,1,0.5,9,14,21
2022-2023,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-198,1998,30,27,2293,25.5,1,6,0,0,4,0,1.7,1.7,8.8,34,190,121
2022-2023,Alisson,br BRA,GK,Liverpool,30-203,1992,31,31,2790,31,0,1,0,0,0,0,0,0,0.3,0,2,0
2022-2023,Dele Alli,eng ENG,MF,Everton,27-012,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,1,1
2022-2023,Miguel Almirón,py PAR,FW,Newcastle Utd,29-072,1994,26,24,2013,22.4,11,1,0,0,2,0,6.3,6.3,1.6,62,107,209
2022-2023,Julián Álvarez,ar ARG,FWMF,Manchester City,23-082,2000,23,7,906,10.1,7,0,1,1,0,0,5.2,4.4,1.3,22,24,57
2022-2023,Daniel Amartey,gh GHA,DF,Leicester City,28-123,1994,20,18,1610,17.9,0,0,0,0,1,0,1.1,1.1,0.5,23,66,5
2022-2023,Joachim Andersen,dk DEN,DF,Crystal Palace,26-327,1996,26,26,2287,25.4,1,0,0,0,7,0,1.6,1.6,1.1,6,72,6
2022-2023,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,20-168,2002,15,1,209,2.3,0,0,0,0,0,0,0.8,0.8,0.7,16,10,19
2022-2023,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-143,1999,24,10,1074,11.9,3,0,0,0,2,0,2.2,2.2,0.6,24,44,64
2022-2023,Michail Antonio,jm JAM,FW,West Ham,33-026,1990,27,15,1392,15.5,3,2,0,0,2,0,4,4,1.1,35,21,91
2022-2023,Antony,br BRA,FW,Manchester Utd,23-058,2000,18,17,1366,15.2,4,1,0,0,4,0,4.8,4.8,1.7,70,54,125
2022-2023,Cameron Archer,eng ENG,FWMF,Aston Villa,21-276,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0,3,0,3
2022-2023,Alphonse Areola,fr FRA,GK,West Ham,30-055,1993,5,2,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Joe Aribo,ng NGA,MFFW,Southampton,26-276,1996,20,12,1155,12.8,2,0,0,0,2,0,1.5,1.5,0.8,19,39,62
2022-2023,Adam Armstrong,eng ENG,FW,Southampton,26-072,1997,25,13,1187,13.2,1,1,0,0,2,0,1.6,1.6,0.7,37,15,60
2022-2023,Stuart Armstrong,sct SCO,MFFW,Southampton,31-024,1992,26,11,1114,12.4,1,0,0,0,5,0,1.6,1.6,1.7,45,60,67
2022-2023,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-202,1994,23,23,2025,22.5,0,0,0,0,1,0,0,0,0,0,0,0
2022-2023,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-309,1989,13,4,464,5.2,1,0,0,0,1,0,0.9,0.9,0.4,8,3,24
2022-2023,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-002,1994,3,1,77,0.9,0,0,0,0,1,0,0.1,0.1,0,0,0,3
2022-2023,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-120,1992,18,16,1430,15.9,1,0,0,0,2,0,0.7,0.7,1,33,59,42
2022-2023,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-254,1997,21,11,946,10.5,4,0,0,0,1,0,5.3,5.3,1,12,7,39
2022-2023,Yasin Ayari,se SWE,MF,Brighton,19-199,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.1,0,2,0
2022-2023,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-127,1989,10,1,266,3,0,0,0,1,0,0,1,0.3,0,3,6,15
2022-2023,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-224,1991,32,25,2181,24.2,3,2,0,0,3,0,2.7,2.7,2.5,67,51,138
2022-2023,Luke Ayling,eng ENG,DF,Leeds United,31-241,1991,23,16,1514,16.8,1,1,0,0,2,0,2,2,1.6,18,58,67
2022-2023,César Azpilicueta,es ESP,DF,Chelsea,33-238,1989,19,11,1106,12.3,0,0,0,0,3,0,0.3,0.3,1,17,59,60
2022-2023,Benoît Badiashile,fr FRA,DF,Chelsea,22-028,2001,9,8,725,8.1,0,0,0,0,1,0,0.8,0.8,0.5,9,45,1
2022-2023,Leon Bailey,jm JAM,FWMF,Aston Villa,25-257,1997,29,23,1735,19.3,4,3,0,0,4,0,4.9,4.9,3.6,76,26,166
2022-2023,Stefan Bajcetic,es ESP,MF,Liverpool,18-183,2004,11,6,526,5.8,1,0,0,0,2,0,0.8,0.8,0.4,10,24,1
2022-2023,Patrick Bamford,eng ENG,FW,Leeds United,29-230,1993,23,13,1155,12.8,3,2,0,1,2,0,6.6,5.8,0.9,14,19,79
2022-2023,Shandon Baptiste,gd GRN,MF,Brentford,25-015,1998,17,4,517,5.7,0,0,0,0,3,1,0.3,0.3,0.8,8,36,22
2022-2023,Harvey Barnes,eng ENG,FWMF,Leicester City,25-135,1997,28,27,2287,25.4,10,1,0,0,2,0,7.6,7.6,2.1,85,65,228
2022-2023,Gavin Bazunu,ie IRL,GK,Southampton,21-062,2002,32,32,2880,32,0,0,0,0,0,0,0,0,0.1,0,1,0
2022-2023,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-106,1999,4,0,21,0.2,0,0,0,0,0,0,0,0,0,0,1,0
2022-2023,Jan Bednarek,pl POL,DF,Southampton,27-011,1996,14,14,1132,12.6,0,0,0,0,3,0,0.4,0.4,0.1,4,31,2
2022-2023,Jan Bednarek,pl POL,DF,Aston Villa,27-011,1996,3,1,100,1.1,0,0,0,0,0,0,0,0,0,1,5,0
2022-2023,Donny van de Beek,nl NED,MF,Manchester Utd,26-005,1997,7,2,167,1.9,0,0,0,0,0,0,0.1,0.1,0.1,2,6,20
2022-2023,Asmir Begović,ba BIH,GK,Everton,35-307,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Armel Bella Kotchap,de GER,DF,Southampton,21-133,2001,22,22,1752,19.5,0,2,0,0,4,0,1,1,1,9,36,2
2022-2023,Saïd Benrahma,dz ALG,FWMF,West Ham,27-256,1995,28,18,1700,18.9,5,3,4,4,0,0,6.2,3.1,3.8,86,66,195
2022-2023,Rodrigo Bentancur,uy URU,MF,Tottenham,25-302,1997,18,17,1500,16.7,5,2,0,0,8,0,2.2,2.2,0.8,26,76,19
2022-2023,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-128,2002,9,9,724,8,0,1,0,0,1,0,0.1,0.1,0.8,15,23,22
2022-2023,Owen Bevan,wls WAL,DF,Bournemouth,19-179,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-023,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,0,2,0,1
2022-2023,Philip Billing,dk DEN,MFFW,Bournemouth,26-316,1996,30,28,2293,25.5,7,1,0,0,5,0,3.8,3.8,3,33,64,79
2022-2023,Yves Bissouma,ml MLI,MF,Tottenham,26-236,1996,20,8,814,9,0,0,0,0,5,0,0.2,0.2,0.5,10,45,7
2022-2023,Willy Boly,ci CIV,DF,Nott'ham Forest,32-079,1991,8,8,592,6.6,0,1,0,0,2,0,0,0,0.2,1,10,0
2022-2023,Sven Botman,nl NED,DF,Newcastle Utd,23-101,2000,28,27,2407,26.7,0,0,0,0,2,0,1.3,1.3,1,7,67,3
2022-2023,Jarrod Bowen,eng ENG,FWMF,West Ham,26-124,1996,30,30,2690,29.9,5,3,1,2,2,0,7.8,6.7,5.4,84,56,183
2022-2023,James Bree,eng ENG,DF,Southampton,25-194,1997,3,2,201,2.2,0,0,0,0,0,0,0,0,0.2,3,3,11
2022-2023,Armando Broja,al ALB,FW,Chelsea,21-225,2001,12,2,294,3.3,1,0,0,0,0,0,0.8,0.8,0.1,8,4,17
2022-2023,David Brooks,wls WAL,DFFW,Bournemouth,25-289,1997,2,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,1
2022-2023,Lewis Brunt,eng ENG,DF,Leicester City,22-168,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,2
2022-2023,Bryan,es ESP,MFFW,Tottenham,22-071,2001,4,2,148,1.6,0,1,0,0,1,0,0.1,0.1,0.2,4,5,15
2022-2023,Emi Buendía,ar ARG,MFFW,Aston Villa,26-119,1996,32,23,2052,22.8,5,2,0,0,0,0,5.6,5.6,5.2,52,123,116
2022-2023,Hugo Bueno,es ESP,DF,Wolves,20-217,2002,17,13,1068,11.9,0,1,0,0,1,0,0.2,0.2,0.6,43,33,56
2022-2023,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-121,2004,4,0,58,0.6,0,1,0,0,0,0,0.1,0.1,0.1,2,1,3
2022-2023,Dan Burn,eng ENG,DF,Newcastle Utd,30-349,1992,30,29,2541,28.2,0,0,0,0,4,0,1.2,1.2,1.2,23,85,34
2022-2023,Cafú,pt POR,MF,Nott'ham Forest,30-056,1993,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,1,0
2022-2023,Moisés Caicedo,ec ECU,MF,Brighton,21-172,2001,28,27,2438,27.1,1,1,0,0,8,0,1.3,1.3,2.3,25,167,38
2022-2023,Tom Cairney,sct SCO,MF,Fulham,32-093,1991,26,1,555,6.2,0,0,0,0,2,0,0.7,0.7,1.2,24,64,34
2022-2023,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-218,1996,12,8,856,9.5,1,0,0,0,2,0,0.8,0.8,0,3,28,0
2022-2023,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-038,1997,12,10,820,9.1,1,0,0,0,2,0,3.1,3.1,0.3,11,11,34
2022-2023,Chem Campbell,wls WAL,FWMF,Wolves,20-114,2002,5,0,74,0.8,0,0,0,0,0,0,0.1,0.1,0,2,4,10
2022-2023,João Cancelo,pt POR,DF,Manchester City,28-331,1994,17,16,1274,14.2,2,1,0,0,3,1,0.8,0.8,0.9,72,106,125
2022-2023,Thomas Cannon,ie IRL,FW,Everton,20-116,2002,2,0,25,0.3,0,0,0,0,0,0,0.1,0.1,0.5,1,0,2
2022-2023,Sergi Canós,es ESP,FWDF,Brentford,26-080,1997,5,0,77,0.9,0,0,0,0,0,0,0.1,0.1,0,4,2,7
2022-2023,Diego Carlos,br BRA,DF,Aston Villa,30-039,1993,2,2,179,2,0,0,0,0,0,0,0.4,0.4,0,0,10,0
2022-2023,Fabio Carvalho,pt POR,MFFW,Liverpool,20-236,2002,12,4,340,3.8,2,0,0,0,0,0,1.1,1.1,0.1,7,11,26
2022-2023,Casemiro,br BRA,MF,Manchester Utd,31-059,1992,20,16,1428,15.9,2,3,0,0,5,2,2.1,2.1,2.3,8,92,26
2022-2023,Matty Cash,pl POL,DF,Aston Villa,25-259,1997,23,18,1639,18.2,0,1,0,0,3,0,0.2,0.2,0.7,41,74,56
2022-2023,Timothy Castagne,be BEL,DF,Leicester City,27-139,1995,31,30,2715,30.2,2,3,0,0,3,0,2,2,2.5,36,95,129
2022-2023,Jonny Castro,es ESP,DF,Wolves,29-051,1994,18,14,1261,14,1,0,0,0,3,1,0.3,0.3,1,24,70,46
2022-2023,Julio César Enciso,py PAR,MFFW,Brighton,19-090,2004,11,0,257,2.9,2,0,0,0,1,0,1.9,1.9,0.3,13,11,22
2022-2023,Nathaniel Chalobah,eng ENG,MF,Fulham,28-132,1994,4,1,12,0.1,0,0,0,0,0,1,0.1,0.1,0,0,0,0
2022-2023,Trevoh Chalobah,eng ENG,DF,Chelsea,23-292,1999,18,12,1108,12.3,0,0,0,0,4,0,0.4,0.4,0.1,9,37,10
2022-2023,Calum Chambers,eng ENG,DFMF,Aston Villa,28-093,1995,12,2,320,3.6,0,0,0,0,2,0,0,0,0.3,5,15,1
2022-2023,Ben Chilwell,eng ENG,DFMF,Chelsea,26-123,1996,20,12,1154,12.8,2,2,0,0,3,0,1.2,1.2,2.1,35,29,117
2022-2023,Ryan Christie,sct SCO,MFFW,Bournemouth,28-060,1995,25,15,1323,14.7,1,0,0,0,2,0,1.8,1.8,1.2,31,55,47
2022-2023,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-185,2003,11,1,232,2.6,0,0,0,0,0,0,0.3,0.3,0.1,13,12,16
2022-2023,Bobby Clark,eng ENG,MF,Liverpool,18-075,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,1,2
2022-2023,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-018,1991,22,19,1640,18.2,0,0,0,0,3,0,0,0,0.7,14,52,29
2022-2023,Conor Coady,eng ENG,DF,Everton,30-057,1993,22,22,1970,21.9,1,1,0,0,2,0,0.8,0.8,0.3,4,40,1
2022-2023,Jack Colback,eng ENG,MF,Nott'ham Forest,33-181,1989,11,4,497,5.5,0,0,0,0,0,0,0,0,0.2,5,16,3
2022-2023,Séamus Coleman,ie IRL,DF,Everton,34-194,1988,22,19,1612,17.9,1,0,0,0,1,0,0.3,0.3,0.6,13,55,34
2022-2023,Nathan Collins,ie IRL,DF,Wolves,21-358,2001,21,17,1579,17.5,0,0,0,0,2,1,0.1,0.1,0.1,11,60,5
2022-2023,Levi Colwill,eng ENG,DF,Brighton,20-056,2003,10,8,711,7.9,0,0,0,0,0,0,0.4,0.4,0.1,11,35,3
2022-2023,Lewis Cook,eng ENG,MF,Bournemouth,26-079,1997,23,17,1554,17.3,0,2,0,0,3,0,0.2,0.2,2.3,9,56,8
2022-2023,Steve Cook,eng ENG,DF,Nott'ham Forest,32-004,1991,12,11,957,10.6,0,0,0,0,4,0,0.1,0.1,0.6,1,19,0
2022-2023,Liam Cooper,sct SCO,DF,Leeds United,31-236,1991,15,13,1213,13.5,1,0,0,0,3,0,1,1,0.7,2,35,2
2022-2023,Maxwel Cornet,ci CIV,FW,West Ham,26-208,1996,9,1,129,1.4,0,0,0,0,0,0,1,1,0.1,4,4,20
2022-2023,Diego Costa,es ESP,FW,Wolves,34-198,1988,18,12,928,10.3,1,0,0,0,2,1,2.6,2.6,0.5,15,10,50
2022-2023,Vladimír Coufal,cz CZE,DF,West Ham,30-244,1992,21,18,1634,18.2,0,0,0,0,4,0,0.3,0.3,1.8,44,73,82
2022-2023,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-315,1992,20,7,788,8.8,1,0,0,0,3,0,1.4,1.4,0.5,18,48,68
2022-2023,Conor Coventry,ie IRL,MFFW,West Ham,23-029,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Aaron Cresswell,eng ENG,DF,West Ham,33-129,1989,22,19,1761,19.6,0,0,0,0,3,0,0.3,0.3,3,28,126,70
2022-2023,Marc Cucurella,es ESP,DF,Chelsea,24-275,1998,24,21,1671,18.6,0,2,0,0,4,0,0.4,0.4,0.6,30,73,65
2022-2023,Matheus Cunha,br BRA,FW,Wolves,23-331,1999,13,9,768,8.5,2,0,0,0,1,0,1.8,1.8,0.5,13,13,40
2022-2023,Patson Daka,zm ZAM,FW,Leicester City,24-196,1998,25,13,1063,11.8,4,3,0,0,2,0,3.5,3.5,2.5,17,17,73
2022-2023,Diogo Dalot,pt POR,DF,Manchester Utd,24-036,1999,21,20,1790,19.9,1,2,0,0,5,0,2.4,2.4,1.9,42,82,73
2022-2023,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-294,2000,20,6,700,7.8,0,0,0,0,3,0,0.6,0.6,1,6,32,31
2022-2023,Danilo,br BRA,MF,Nott'ham Forest,21-359,2001,8,7,545,6.1,0,1,0,0,1,0,0.3,0.3,0.3,6,26,8
2022-2023,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-082,1997,3,0,58,0.6,1,0,0,0,0,0,0.2,0.2,0,4,0,11
2022-2023,Josh Dasilva,eng ENG,MF,Brentford,24-182,1998,31,14,1302,14.5,3,2,0,0,1,0,1.4,1.4,1.4,53,56,55
2022-2023,Ben Davies,wls WAL,DF,Tottenham,29-364,1993,25,21,1831,20.3,2,2,0,0,3,0,1,1,2.3,30,96,54
2022-2023,Tom Davies,eng ENG,MF,Everton,24-297,1998,19,4,538,6,0,0,0,0,3,0,1.2,1.2,0.2,2,30,13
2022-2023,Craig Dawson,eng ENG,DF,West Ham,32-352,1990,8,8,720,8,0,0,0,0,2,0,0.5,0.5,0.1,0,18,1
2022-2023,Craig Dawson,eng ENG,DF,Wolves,32-352,1990,12,12,1009,11.2,1,0,0,0,2,0,0.8,0.8,0,4,31,1
2022-2023,Kevin De Bruyne,be BEL,MF,Manchester City,31-299,1991,28,25,2179,24.2,5,15,0,0,1,0,5,5,12.6,95,222,224
2022-2023,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-228,1996,6,0,110,1.2,0,0,0,0,0,0,0.2,0.2,0.3,5,4,11
2022-2023,Leander Dendoncker,be BEL,MF,Aston Villa,28-008,1995,17,5,540,6,0,0,0,0,0,0,0.1,0.1,0.5,1,13,1
2022-2023,Leander Dendoncker,be BEL,MF,Wolves,28-008,1995,4,2,214,2.4,0,0,0,0,0,0,0.7,0.7,0,1,6,3
2022-2023,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-159,1997,18,6,701,7.8,2,2,0,0,3,0,1.8,1.8,0.6,23,16,61
2022-2023,Halil Dervişoğlu,tr TUR,MF,Brentford,23-136,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-229,1998,29,27,2221,24.7,2,2,0,0,5,1,2.3,2.3,3.1,64,125,88
2022-2023,Ibrahima Diallo,fr FRA,MF,Southampton,24-046,1999,18,11,819,9.1,0,0,0,0,4,0,0.2,0.2,0.1,9,28,6
2022-2023,Rúben Dias,pt POR,DF,Manchester City,25-344,1997,22,18,1639,18.2,0,0,0,0,2,0,1.3,1.3,0.1,9,82,1
2022-2023,Luis Díaz,co COL,FW,Liverpool,26-100,1997,10,7,633,7,3,2,0,0,2,0,1.7,1.7,1.1,22,29,74
2022-2023,Eric Dier,eng ENG,DF,Tottenham,29-098,1994,29,28,2545,28.3,2,1,0,0,3,0,1.2,1.2,1.2,8,80,13
2022-2023,Lucas Digne,fr FRA,DF,Aston Villa,29-277,1993,23,16,1324,14.7,1,0,0,0,4,0,0.3,0.3,1.8,24,51,83
2022-2023,Issa Diop,fr FRA,DF,Fulham,26-104,1997,19,16,1506,16.7,1,0,0,0,2,0,0.3,0.3,0,10,57,3
2022-2023,Moussa Djenepo,ml MLI,DFFW,Southampton,24-312,1998,14,6,629,7,0,2,0,0,0,0,0.2,0.2,0.5,25,17,36
2022-2023,Ben Doak,sct SCO,FW,Liverpool,17-163,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,0,1,1,4
2022-2023,Matt Doherty,ie IRL,DFMF,Tottenham,31-097,1992,12,7,667,7.4,1,0,0,0,0,0,0.8,0.8,0.3,16,20,57
2022-2023,Gabriel Dos Santos,br BRA,DF,Arsenal,25-125,1997,32,32,2875,31.9,3,0,0,0,4,0,4.5,4.5,0.2,16,141,14
2022-2023,Abdoulaye Doucouré,ml MLI,MF,Everton,30-112,1993,19,11,993,11,2,2,0,0,5,1,1.5,1.5,1.3,16,31,36
2022-2023,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-105,2000,29,29,2353,26.1,0,3,0,0,10,1,1.2,1.2,1.8,13,117,13
2022-2023,Flynn Downes,eng ENG,MF,West Ham,24-093,1999,16,4,482,5.4,0,0,0,0,1,0,0.3,0.3,0,2,13,8
2022-2023,Cody Drameh,eng ENG,DF,Leeds United,21-136,2001,1,1,69,0.8,0,0,0,0,0,0,0,0,0,0,2,3
2022-2023,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-098,1989,1,0,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Shane Duffy,ie IRL,FWDF,Fulham,31-112,1992,4,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Lewis Dunk,eng ENG,DF,Brighton,31-153,1991,29,29,2609,29,1,0,0,0,2,0,1.6,1.6,0.7,13,119,1
2022-2023,Jhon Durán,co COL,FW,Aston Villa,19-131,2003,8,0,84,0.9,0,0,0,0,1,0,0.6,0.6,0,2,3,10
2022-2023,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-231,2003,3,0,34,0.4,0,0,0,0,0,0,0,0,0,2,2,9
2022-2023,Ederson,br BRA,GK,Manchester City,29-249,1993,30,30,2700,30,0,1,0,0,2,0,0,0,0.2,0,0,0
2022-2023,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-097,1998,29,18,1578,17.5,4,2,0,0,3,0,3.8,3.8,1.1,25,32,85
2022-2023,Samuel Edozie,eng ENG,FWMF,Southampton,20-085,2003,16,5,552,6.1,0,0,0,0,0,0,0.9,0.9,0.3,23,12,37
2022-2023,Anthony Elanga,se SWE,FW,Manchester Utd,20-361,2002,16,5,426,4.7,0,1,0,0,0,0,0.7,0.7,0.9,12,8,28
2022-2023,Harvey Elliott,eng ENG,MFFW,Liverpool,20-019,2003,27,17,1497,16.6,1,2,0,0,1,0,1.8,1.8,3.2,47,116,122
2022-2023,Mohamed Elneny,eg EGY,MF,Arsenal,30-286,1992,5,1,113,1.3,0,0,0,0,0,0,0,0,0,1,2,1
2022-2023,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-262,1994,28,24,1937,21.5,0,1,0,0,3,0,2.7,2.7,2,46,46,91
2022-2023,Emerson,br BRA,DF,Tottenham,24-099,1999,22,16,1391,15.5,2,1,0,0,2,1,1.6,1.6,0.6,42,70,95
2022-2023,Christian Eriksen,dk DEN,MF,Manchester Utd,31-068,1992,21,19,1581,17.6,1,7,0,0,3,0,3.5,3.5,3.1,17,124,47
2022-2023,Pervis Estupiñán,ec ECU,DF,Brighton,25-092,1998,26,23,1929,21.4,0,3,0,0,3,0,0.7,0.7,3.6,66,117,138
2022-2023,Jonny Evans,nir NIR,DF,Leicester City,35-110,1988,10,9,811,9,0,0,0,0,0,0,0.2,0.2,0,6,31,0
2022-2023,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-298,1998,32,24,2096,23.3,7,3,0,0,3,0,4.6,4.6,3.4,56,97,90
2022-2023,Łukasz Fabiański,pl POL,GK,West Ham,38-005,1985,28,28,2391,26.6,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Fabinho,br BRA,MF,Liverpool,29-182,1993,29,24,2085,23.2,0,1,0,0,9,0,0.6,0.6,1.7,9,116,29
2022-2023,Wout Faes,be BEL,DF,Leicester City,25-020,1998,25,25,2246,25,0,1,0,0,6,1,0.7,0.7,0.5,9,62,2
2022-2023,Felipe,br BRA,DF,Nott'ham Forest,33-342,1989,11,10,980,10.9,0,1,0,0,2,0,0.5,0.5,0.5,2,14,2
2022-2023,João Félix,pt POR,FWMF,Chelsea,23-164,1999,11,10,791,8.8,2,0,0,0,0,1,3.6,3.6,0.5,32,39,71
2022-2023,Evan Ferguson,ie IRL,FW,Brighton,18-186,2004,13,7,601,6.7,4,2,0,0,1,0,3.5,3.5,0.4,6,8,39
2022-2023,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-227,1994,29,29,2608,29,5,6,1,1,6,0,5.9,5.1,12.3,65,202,175
2022-2023,Enzo Fernández,ar ARG,MF,Chelsea,22-096,2001,11,11,949,10.5,0,2,0,0,1,0,0.6,0.6,1.4,10,107,15
2022-2023,Roberto Firmino,br BRA,FWMF,Liverpool,31-203,1991,23,12,1138,12.6,9,4,0,0,0,0,4.9,4.9,2.3,13,76,90
2022-2023,Junior Firpo,es ESP,DF,Leeds United,26-244,1996,15,11,1068,11.9,1,1,0,0,5,0,0.1,0.1,0.8,18,46,31
2022-2023,Phil Foden,eng ENG,FW,Manchester City,22-330,2000,24,17,1406,15.6,9,5,0,0,1,0,4.8,4.8,3,39,62,221
2022-2023,Datro Fofana,ci CIV,FW,Chelsea,20-122,2002,2,1,61,0.7,0,0,0,0,0,0,0.2,0.2,0.1,2,1,8
2022-2023,Wesley Fofana,fr FRA,DF,Leicester City,22-127,2000,2,2,180,2,0,0,0,0,1,0,0.1,0.1,0,3,6,1
2022-2023,Wesley Fofana,fr FRA,DF,Chelsea,22-127,2000,10,8,783,8.7,1,0,0,0,2,0,0.7,0.7,0,23,31,10
2022-2023,Pablo Fornals,es ESP,FWMF,West Ham,27-060,1996,25,12,1102,12.2,1,1,0,0,0,0,1,1,1.5,23,55,73
2022-2023,Adam Forshaw,eng ENG,MF,Leeds United,31-197,1991,7,2,184,2,0,0,0,0,0,0,0,0,0.5,0,9,0
2022-2023,Fraser Forster,eng ENG,GK,Tottenham,35-037,1988,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0
2022-2023,Tyrese Francois,au AUS,FW,Fulham,22-281,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-2023,Ryan Fraser,sct SCO,FW,Newcastle Utd,29-058,1994,8,3,313,3.5,0,0,0,0,1,0,0.3,0.3,0.4,8,9,23
2022-2023,Fred,br BRA,MF,Manchester Utd,30-049,1993,27,10,1025,11.4,2,1,0,0,5,0,1.9,1.9,2,8,57,36
2022-2023,Ryan Fredericks,eng ENG,DF,Bournemouth,30-195,1992,12,5,533,5.9,0,0,0,0,1,0,0,0,0.1,13,15,28
2022-2023,Remo Freuler,ch SUI,MF,Nott'ham Forest,31-008,1992,28,24,2161,24,0,0,0,0,4,0,0.4,0.4,0.8,7,54,11
2022-2023,Cody Gakpo,nl NED,FW,Liverpool,23-351,1999,14,12,980,10.9,5,1,0,0,0,0,4.1,4.1,1.2,22,27,76
2022-2023,Conor Gallagher,eng ENG,MFFW,Chelsea,23-076,2000,28,12,1158,12.9,2,1,0,0,9,1,1.5,1.5,2.2,31,75,66
